day,coin,prints,shares,avg_px,hit,ev_c,pool_usd
2026-08-07,btc,15410,591235.818791,0.8914846224122751,0.9249263172472126,3.02985649178208,17913.59683738005
2026-08-07,eth,2323,71713.420964,0.9538069322140116,0.9845549800705224,2.8641924195468795,2054.010367048631
2026-08-07,sol,1044,37001.689605,0.9171118618145844,0.9312848239325692,1.2726214136492673,470.89142532526495
2026-08-07,xrp,870,30154.691960000004,0.9014406243359612,0.9340200952594974,3.065390728098522,924.3591314285106
2026-08-07,doge,709,16115.115035,0.9723773425111444,0.9903572139160968,1.665696975044905,268.42898366300176
2026-08-08,btc,23887,815885.039904,0.8718785101620697,0.9068856830014448,3.1673638720408794,25842.047991305604
2026-08-08,eth,3126,77431.782412,0.9348411107740656,0.96424141630542,2.7097506472583293,2098.208225092831
2026-08-08,sol,876,29500.560757000003,0.9537524165315956,0.966836349245739,1.18856339419294,350.6328662393497
2026-08-08,xrp,947,31382.46081,0.9736859445490051,0.9803307024348036,0.564414282499,177.12709101129138
2026-08-08,doge,670,18288.429239,0.9066310219048838,0.9227432208892502,1.4901518560070444,272.5253677394935
2026-08-09,btc,18921,668085.767563,0.7824522869763483,0.8139349956990697,2.746937240540503,18351.89674793891
2026-08-09,eth,3244,64582.947029,0.928104711110583,0.9473852845322438,1.7001783476378454,1098.0252816534771
2026-08-09,sol,809,30473.997093,0.9792314119460004,0.9867383814546328,0.6886508573110562,209.85944223789085
2026-08-09,xrp,1363,44512.042599,0.9419266134527704,0.9922446587070854,4.866935847081702,2166.3725575190088
2026-08-09,doge,772,20551.21237,0.8191261814097202,0.9891048091485416,16.8809569742799,3469.2413178725888
